Date,Method,Window,Mode,Hub_ticker,Hub_degree,Hub_tied,Hub_sector,N_nodes,Is_dominant_hub
2021-05-03,spearman,240,,GFNORTEO.MX,7,False,Financial,35,False
2021-05-04,spearman,240,,GFNORTEO.MX,7,False,Financial,35,False
2021-05-05,spearman,240,,GFNORTEO.MX,7,False,Financial,35,False
2021-05-06,spearman,240,,GFNORTEO.MX,7,False,Financial,35,False
2021-05-07,spearman,240,,GFNORTEO.MX,6,True,Financial,35,False
2021-05-10,spearman,240,,GFNORTEO.MX,6,True,Financial,35,False
2021-05-11,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-05-12,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-05-13,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-05-14,spearman,240,,GCARSOA1.MX,7,True,Conglomerate,35,False
2021-05-17,spearman,240,,GCARSOA1.MX,7,True,Conglomerate,35,False
2021-05-18,spearman,240,,GCARSOA1.MX,7,True,Conglomerate,35,False
2021-05-19,spearman,240,,GAPB.MX,8,False,Airports,35,False
2021-05-20,spearman,240,,GAPB.MX,8,False,Airports,35,False
2021-05-21,spearman,240,,GAPB.MX,8,False,Airports,35,False
2021-05-24,spearman,240,,GAPB.MX,8,False,Airports,35,False
2021-05-25,spearman,240,,GAPB.MX,8,False,Airports,35,False
2021-05-26,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-05-27,spearman,240,,GCARSOA1.MX,7,True,Conglomerate,35,False
2021-05-28,spearman,240,,GCARSOA1.MX,7,True,Conglomerate,35,False
2021-05-31,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-06-01,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-06-02,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-06-03,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-06-04,spearman,240,,GCARSOA1.MX,6,True,Conglomerate,35,False
2021-06-07,spearman,240,,GCARSOA1.MX,6,True,Conglomerate,35,False
2021-06-08,spearman,240,,GAPB.MX,6,True,Airports,35,False
2021-06-09,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-06-10,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-06-11,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-06-14,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-06-15,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-06-16,spearman,240,,GAPB.MX,7,False,Airports,35,False
2021-06-17,spearman,240,,GCARSOA1.MX,6,True,Conglomerate,35,False
2021-06-18,spearman,240,,GCARSOA1.MX,6,True,Conglomerate,35,False
2021-06-21,spearman,240,,GAPB.MX,6,False,Airports,35,False
2021-06-22,spearman,240,,GAPB.MX,5,False,Airports,35,False
2021-06-23,spearman,240,,PINFRA.MX,5,True,Infrastructure,35,False
2021-06-24,spearman,240,,PINFRA.MX,5,True,Infrastructure,35,False
2021-06-25,spearman,240,,GCARSOA1.MX,6,False,Conglomerate,35,False
2021-06-28,spearman,240,,GFINBURO.MX,5,True,Financial,35,True
2021-06-29,spearman,240,,GFINBURO.MX,6,False,Financial,35,True
2021-06-30,spearman,240,,GFINBURO.MX,5,True,Financial,35,True
2021-07-01,spearman,240,,GFINBURO.MX,5,True,Financial,35,True
2021-07-02,spearman,240,,GFINBURO.MX,6,False,Financial,35,True
2021-07-05,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-07-06,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-07-07,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-07-08,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-07-09,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-07-12,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-07-13,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-07-14,spearman,240,,GFINBURO.MX,6,True,Financial,35,True
2021-07-15,spearman,240,,GFINBURO.MX,6,True,Financial,35,True
2021-07-16,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-07-19,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-07-20,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-07-21,spearman,240,,GFINBURO.MX,9,False,Financial,35,True
2021-07-22,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-07-23,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-07-26,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-07-27,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-07-28,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-07-29,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-07-30,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-08-02,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-08-03,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-08-04,spearman,240,,GFINBURO.MX,6,False,Financial,35,True
2021-08-05,spearman,240,,GFINBURO.MX,6,False,Financial,35,True
2021-08-06,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-08-09,spearman,240,,GFINBURO.MX,6,False,Financial,35,True
2021-08-10,spearman,240,,GFINBURO.MX,6,False,Financial,35,True
2021-08-11,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-08-12,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-08-13,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-08-16,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-08-17,spearman,240,,GFINBURO.MX,6,False,Financial,35,True
2021-08-18,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-08-19,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-08-20,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-08-23,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-08-24,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-08-25,spearman,240,,GFINBURO.MX,5,False,Financial,35,True
2021-08-26,spearman,240,,GFINBURO.MX,5,False,Financial,35,True
2021-08-27,spearman,240,,GFINBURO.MX,5,True,Financial,35,True
2021-08-30,spearman,240,,GFINBURO.MX,5,False,Financial,35,True
2021-08-31,spearman,240,,GFINBURO.MX,5,True,Financial,35,True
2021-09-01,spearman,240,,GFINBURO.MX,5,False,Financial,35,True
2021-09-02,spearman,240,,GFINBURO.MX,5,True,Financial,35,True
2021-09-03,spearman,240,,GFINBURO.MX,5,True,Financial,35,True
2021-09-06,spearman,240,,GFINBURO.MX,6,False,Financial,35,True
2021-09-07,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-09-08,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-09-09,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-09-10,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-09-13,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-09-14,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-09-15,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-09-17,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-09-20,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-09-21,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-09-22,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-09-23,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
2021-09-24,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-09-27,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-09-28,spearman,240,,GFINBURO.MX,7,False,Financial,35,True
2021-09-29,spearman,240,,GFINBURO.MX,8,False,Financial,35,True
