Predictor,Beta,t_obs,pval_FreedmanLane,Hypothesis_role
Mantegna,0.22670789744901662,49.589184908142954,0.000999000999000999,sensitivity
SameSector,-0.0015105511288319058,-1.9625400884120996,0.13086913086913088,sensitivity
