Predictor,Beta,t_obs,pval_FreedmanLane,Hypothesis_role,pval_FreedmanLane_BH
Mantegna,-0.015275508915734398,-1.3045883026177332,0.34665334665334663,focal_primary,0.51998001998002
Spearman,0.3032758347452665,21.608543064582662,0.000999000999000999,focal_primary,0.002997002997002997
SameSector,-1.2234780303051196e-05,-0.021096968503896245,0.995004995004995,focal_primary,0.995004995004995
