Date,NTL,CI_low,CI_high
2017-04-18,1.1395748748430303,1.1395748748430303,1.1395748748430303
2017-04-19,1.1396266276033613,1.1379985657589966,1.1410801894325888
2017-04-20,1.1400294484977818,1.1369340846562317,1.1421637638602906
2017-04-21,1.1402094629026522,1.136304373325354,1.1426566913901393
2017-04-24,1.1389655655837467,1.1355914189651048,1.142923816847559
2017-04-25,1.1381872372851134,1.1349918252254387,1.1435641023516372
2017-04-26,1.1364328565370858,1.1345768282908795,1.1442618840802106
2017-04-27,1.1376828325867987,1.1341362037020717,1.1446943520619184
2017-04-28,1.1378044920098471,1.1337271139355996,1.1452485592992911
2017-05-02,1.1370212114759453,1.1333226449981315,1.1459155477640723
2017-05-03,1.1367082625628973,1.1329894084612864,1.146653545234973
2017-05-04,1.136846910168126,1.1322405240267164,1.1472827140167785
2017-05-05,1.1366027631582813,1.1321848013651765,1.1481307558438538
2017-05-08,1.1379178874825109,1.1317872439760754,1.1486952783632536
2017-05-09,1.1378975616446703,1.130911219739268,1.1491101239031458
2017-05-10,1.1381563778530381,1.1299721548810586,1.1496382230341577
2017-05-11,1.1393404850264006,1.1293999350375739,1.1499776838440874
2017-05-12,1.139322924587583,1.1280489390389523,1.1510433553876285
2017-05-15,1.1391161670806622,1.1269589500176995,1.1515894311455435
2017-05-16,1.1387715671772494,1.1245113309687507,1.1517132613240715
2017-05-17,1.137678500702035,1.1238244755435671,1.1522142741289163
2017-05-18,1.1369748072163726,1.12304890778322,1.1526253210913047
2017-05-19,1.1375361447143586,1.1213070361979995,1.1530701773472374
2017-05-22,1.1379265289658957,1.1193254965747463,1.1537032015831743
2017-05-23,1.1399579348321043,1.11837644778073,1.153549467294999
2017-05-24,1.140321783546363,1.1169605865543017,1.1548145352778731
2017-05-25,1.1401230492964274,1.1159749255227245,1.1553439491223463
2017-05-26,1.1404549760701475,1.1158655353187643,1.1554733546090346
2017-05-29,1.1400067475651103,1.1158142025980127,1.1556112424773552
2017-05-30,1.1396462191112757,1.1155850684884705,1.1562764819660845
2017-05-31,1.140062979403766,1.1155468905870374,1.1569173282136636
2017-06-01,1.139903820013475,1.1145965127845376,1.157173718755814
2017-06-02,1.1401744156396425,1.1140651622069684,1.1574474071752923
2017-06-05,1.1399479003070543,1.1139757560641217,1.1583361179635374
2017-06-06,1.138961321390334,1.1132172188441836,1.1585774863587277
2017-06-07,1.1393322676898268,1.1128262913303046,1.1599846359575878
2017-06-08,1.140574626707824,1.112902847458351,1.1607255260794387
2017-06-09,1.1398676450164418,1.1124983741476413,1.1617885126780634
2017-06-12,1.139735823359464,1.1112612789958987,1.1624949354557763
2017-06-13,1.1425142002451576,1.110732408688772,1.1628049558066673
2017-06-14,1.1417777125676825,1.1102275874273524,1.1629380696100917
2017-06-15,1.1409041506270707,1.1102895016874221,1.1631159160128348
2017-06-16,1.1412979032956856,1.1100364683884836,1.163643092808343
2017-06-19,1.1410660321677908,1.109053686158097,1.1641843731274812
2017-06-20,1.1402349531368248,1.1084754044920035,1.1645647772994627
2017-06-21,1.1409388178386648,1.1077492006692171,1.1661631025102022
2017-06-22,1.140869909087024,1.107240802572946,1.1664356310368553
2017-06-23,1.1407470256549899,1.1061523702035425,1.166978987958454
2017-06-26,1.1404438202568465,1.105549862485067,1.1669793359011713
2017-06-27,1.1464961638238118,1.105159971607061,1.1673597675945115
2017-06-28,1.1430783939513436,1.104577724669953,1.167440419302737
2017-06-29,1.142713763956982,1.1035276686781865,1.1683730784162722
2017-06-30,1.1430700537324503,1.1030079335813499,1.1684371564874494
2017-07-03,1.1422491954034655,1.102396499124991,1.1684767312135413
2017-07-04,1.1419171747539913,1.1020991715507529,1.1689480258031142
2017-07-05,1.146706274659143,1.1018975879641597,1.1685936419575393
2017-07-06,1.146488163854792,1.101365441451708,1.168825355602074
2017-07-07,1.1456787283007026,1.1006384812173113,1.1698134497466857
2017-07-10,1.1456093914455436,1.0992406169071702,1.1702483730084892
2017-07-11,1.1468745606284758,1.0987469436620794,1.1707675282657026
2017-07-12,1.1450267543569372,1.0977779859951604,1.1705286215013238
2017-07-13,1.1450534623962194,1.0971803072482873,1.171016775152374
2017-07-14,1.1451695964003914,1.0965512773411097,1.1719271936658135
2017-07-17,1.1459422615578008,1.0959428153709783,1.1724576401515605
2017-07-18,1.1452231319606179,1.0947363736022622,1.1722922959219026
2017-07-19,1.1466628818188014,1.0939890414447337,1.1734880916777353
2017-07-20,1.1467106564065657,1.093125685735536,1.1730503497219453
2017-07-21,1.1477248999543719,1.0939220820053697,1.1733000747620979
2017-07-24,1.1476115536167735,1.094009542287466,1.1737080414469567
2017-07-25,1.1481763321167233,1.093654492422179,1.1738090416943716
2017-07-26,1.1478555972233058,1.0929640020337388,1.173786160477136
2017-07-27,1.1481106134333785,1.0928619701678122,1.1737028266338303
2017-07-28,1.1479998614709201,1.0931268461137325,1.1745039106444763
2017-07-31,1.1487707288031646,1.09156186445968,1.1747499735365385
2017-08-01,1.148848507924636,1.0924077990005772,1.1752270503352744
2017-08-02,1.1489364306581922,1.0898543373126435,1.1752513453097866
2017-08-03,1.1494435814066843,1.0897569915403686,1.1755726307465155
2017-08-04,1.1493812261128824,1.0882952211003902,1.1756762186758207
2017-08-07,1.1490873303603453,1.0877266973890587,1.1758845890643792
2017-08-08,1.1494039023725242,1.0875754306854295,1.1765207298296536
2017-08-09,1.1501052918002244,1.08756903234369,1.1761472012757845
2017-08-10,1.1497890444058203,1.0879850351797138,1.176726820629922
2017-08-11,1.1496785806336014,1.087593235368951,1.1771128279222545
2017-08-14,1.1493106040087804,1.0872289178690877,1.1770582747256069
2017-08-15,1.1492294325045211,1.0873767139815245,1.1778773081996199
2017-08-16,1.1497795864223241,1.0874517360252232,1.1778355289048414
2017-08-17,1.1499940647829532,1.0868844951289154,1.1784565850245357
2017-08-18,1.150154980393756,1.086129207441768,1.1789952735136224
2017-08-21,1.1513103101104256,1.0864490336116326,1.1794408292781837
2017-08-22,1.150470603216339,1.0856553671369005,1.1799622171555557
2017-08-23,1.1496571379115181,1.0860084157155439,1.180519745993049
2017-08-24,1.148300228565389,1.0861983343153714,1.1810119841894586
2017-08-25,1.1479268467829409,1.0858421894852972,1.1807780382125954
2017-08-28,1.1477912970083413,1.0857685763645417,1.1806899292032849
2017-08-29,1.147688938219065,1.0858248928105838,1.1807184288105699
2017-08-30,1.1477728322586427,1.0860372280846966,1.181013293605253
2017-08-31,1.1471660118050655,1.0855690308280903,1.1812672854990771
2017-09-01,1.1478114163123916,1.0851725012287374,1.1812001358093887
2017-09-04,1.1481419066616838,1.085111662747248,1.1817178319663797
2017-09-05,1.147439697148173,1.0846436347374713,1.1821708512511764
2017-09-06,1.1472642928141208,1.0849223279027953,1.1827322892448582
2017-09-07,1.1474304867740934,1.0841431658784118,1.183234765320613
2017-09-08,1.1467515483581063,1.0841388285872968,1.183891717820514
2017-09-11,1.1465272771702064,1.0840220909366212,1.1842267689434458
2017-09-12,1.146525315057444,1.0833420701134318,1.1845818675380657
2017-09-13,1.1458084776057476,1.0831362994624252,1.1847727103909524
2017-09-14,1.1455072839667153,1.0829403166962832,1.1851285411308632
2017-09-15,1.146525529269267,1.0824134364896736,1.184719819296885
2017-09-18,1.147736517533003,1.0823590838698391,1.1848572127266752
2017-09-19,1.14789378688719,1.0817940710311944,1.18442678275042
2017-09-20,1.1474633494683715,1.0807297125648117,1.1846144583364817
2017-09-21,1.1478015364960097,1.0806449155113578,1.184200417721174
2017-09-22,1.1475341339082397,1.0799556443737188,1.1847181412551595
2017-09-25,1.1467808234218464,1.0798615097964201,1.1846951098524647
2017-09-26,1.14727783696543,1.0794175388794354,1.1852862291667619
2017-09-27,1.1461585917129176,1.0797228244520023,1.1865371569980032
2017-09-28,1.145616684962077,1.0796381034912534,1.187500204177587
2017-09-29,1.1455066094185138,1.0798052653524124,1.1877290898303852
2017-10-02,1.1451379738946932,1.079968512855615,1.187475054111253
2017-10-03,1.145219346083599,1.0798009153146395,1.1877889009375167
2017-10-04,1.1449382680866562,1.0798461996722988,1.18775127854354
2017-10-05,1.1448138691621077,1.0795018343340437,1.1875539173107716
2017-10-06,1.1451041893607465,1.079628659642757,1.185752941409195
2017-10-09,1.1452608703682268,1.0788865851000855,1.1855908903753145
2017-10-10,1.1453196015819365,1.0793014260805431,1.1866028198019412
2017-10-11,1.145250946393811,1.0780306804053985,1.1873484896649404
2017-10-12,1.1441943179991672,1.0778986919292157,1.186978018346544
2017-10-13,1.14421603916984,1.0786286141667916,1.1873457557242257
2017-10-16,1.1443805069351425,1.077695561570318,1.1875152424111148
2017-10-17,1.1431418141913061,1.0764445818318753,1.1882876431214802
2017-10-18,1.1434440007222162,1.074690230470953,1.1877976143935214
2017-10-19,1.1433539342270385,1.0742129539062808,1.1875957761667388
2017-10-20,1.1440150870019228,1.0741309128051684,1.1877632046022955
2017-10-23,1.143966003757698,1.074191895843115,1.188217209806287
2017-10-24,1.1430872454969743,1.0747038350449558,1.1883371998925985
2017-10-25,1.1443896348395743,1.0749529070314918,1.188639827296057
2017-10-26,1.1449559143076726,1.0748881044251888,1.188715265433796
2017-10-27,1.1455388265207582,1.0751004984810362,1.1891090586849327
2017-10-30,1.145698371227589,1.0746726971902272,1.1889547044038513
2017-10-31,1.1459276679887895,1.0748326304137201,1.1892002215274637
2017-11-01,1.145320832393707,1.0743963805194026,1.1893768715246609
2017-11-03,1.1454166292033865,1.0730724081238971,1.1900162348960681
2017-11-06,1.1443352479741888,1.0721775324092184,1.1902646214183303
2017-11-07,1.1438324466013492,1.0722014284487444,1.1904152606956109
2017-11-08,1.1434983510310588,1.072487243147643,1.190794289028404
2017-11-09,1.1442374028829387,1.0721043064350717,1.1910018608173283
2017-11-10,1.1428795665964102,1.0724639762619144,1.1907065052177637
2017-11-13,1.1431237771527842,1.0722776150415443,1.1903957183019358
2017-11-14,1.1435156626838598,1.071561380555173,1.1904085795893664
2017-11-15,1.1434569007193631,1.0724563824713336,1.1907088673353796
2017-11-16,1.143463891820355,1.0717978635924545,1.1909576867033511
2017-11-17,1.1425556413310156,1.071662625532573,1.1914143011912366
2017-11-21,1.1431907065899705,1.0717900352857233,1.1921995780143995
2017-11-22,1.1435778278691477,1.0710048498634281,1.1929947766799573
2017-11-23,1.1439781227283707,1.0713260728235263,1.1924247870550964
2017-11-24,1.1444231533353948,1.0710060979809652,1.1921824114968234
2017-11-27,1.1475890615260622,1.0710091043531718,1.1922384688897725
2017-11-28,1.1492921756073158,1.0715160048644312,1.1922869714743762
2017-11-29,1.1504281590829377,1.0714123620848375,1.1922835759152917
2017-11-30,1.1519999701166335,1.0717152221247845,1.1923974142212683
2017-12-01,1.1532351852282896,1.0717015653686413,1.1928239931657434
2017-12-04,1.152728036759697,1.0714527379405234,1.1924555821461802
2017-12-05,1.1527232573213897,1.0707287258644573,1.1921623612429804
2017-12-06,1.1536817313521464,1.0700243700499366,1.1925374529955035
2017-12-07,1.153639618079967,1.0698530337572916,1.192334196826141
2017-12-08,1.152873976914013,1.069873822517317,1.192567734645702
2017-12-11,1.1527679781225464,1.0696758825295534,1.1931977150107222
2017-12-13,1.152977159662031,1.0698478734829182,1.193827128461353
2017-12-14,1.1535792173053365,1.0696606324045497,1.1939555234325214
2017-12-15,1.153794423502468,1.0692057155836519,1.194069279240141
2017-12-18,1.1528146491137061,1.0693082452401415,1.1939498330696523
2017-12-19,1.153080060990591,1.068798502221634,1.1937654622968898
2017-12-20,1.152440791640743,1.0684187383092345,1.1939633362115396
2017-12-21,1.1525090777336746,1.0678940178525482,1.1939540632208725
2017-12-22,1.1529438780854853,1.0673670231859065,1.1943304972222
2017-12-26,1.152772540320328,1.0672107138517581,1.1949780047144307
2017-12-27,1.153076589154941,1.0675744056422156,1.1954711814415369
2017-12-28,1.1536520992298103,1.0666147297510034,1.1962054676023366
2017-12-29,1.1530085789838544,1.0661709424443562,1.1966967734521934
2018-01-02,1.1516337266377104,1.0657062044423506,1.1967197345813756
2018-01-03,1.1513507079079215,1.065473738941097,1.1970920987028264
2018-01-04,1.1511570976298795,1.0659992455588942,1.1968394679189707
2018-01-05,1.1506918957734649,1.066035894278711,1.1969698210880209
2018-01-08,1.150425776127246,1.0660974015939761,1.1969195557926686
2018-01-09,1.1508523447708712,1.0661056350293618,1.1960929777463438
2018-01-10,1.1484794028843595,1.0659410790797916,1.196040421984761
2018-01-11,1.1489417706535874,1.0658099394267302,1.1957250250960636
2018-01-12,1.1482836923241668,1.0655989424487786,1.195686153339299
2018-01-15,1.147798859482528,1.0640637363338563,1.1958217103985014
2018-01-16,1.1476576639863882,1.064846058818545,1.195818342694336
2018-01-17,1.1476884554669748,1.0646075006139792,1.1961097998222894
2018-01-18,1.1478270017739707,1.0648052168483866,1.1964377487251125
2018-01-19,1.1476952568208891,1.0647149237052647,1.196449156459594
2018-01-22,1.1478092365054617,1.0648837190291074,1.1970474488269613
2018-01-23,1.1480368561354857,1.0644657221629061,1.1972207802248156
2018-01-24,1.147636619137156,1.0637754979666016,1.1977545341848101
2018-01-25,1.1481415486316582,1.0632497249532027,1.1975925178739069
2018-01-26,1.1485537416181113,1.0631802556850973,1.1979993156664088
2018-01-29,1.1495066598265196,1.0636582146248648,1.1981834098334432
2018-01-30,1.1492500483982788,1.0628581047135552,1.1985015301055244
2018-01-31,1.1494746323573022,1.0627357931118615,1.198566846021788
2018-02-01,1.1493082610879173,1.063027814050719,1.1985700325131232
2018-02-02,1.1491973979079526,1.0625461645980234,1.1985749101685967
2018-02-06,1.1472088486277419,1.063045521338607,1.1987712562211095
2018-02-07,1.1478422221341742,1.0624299092662481,1.1989651428420591
2018-02-08,1.1444395144107924,1.0630042964615964,1.1989291040146939
2018-02-09,1.1456054730514975,1.0626834724261993,1.199326869220603
2018-02-12,1.1459794904395193,1.0627353158484134,1.1992705052553885
2018-02-13,1.1458213226299119,1.0624766487645607,1.2004180418980197
2018-02-14,1.1459714415514854,1.0626568893607702,1.2006982590708855
2018-02-15,1.1463583894535008,1.0626924841069911,1.2005026160622279
2018-02-16,1.1484555071441271,1.0623247353220495,1.2002771333982134
2018-02-19,1.1484070949678922,1.062682058450874,1.2006118080153165
2018-02-20,1.1476987804602217,1.0617105917562657,1.2009034535205905
2018-02-21,1.148222042038392,1.0611180107552294,1.2013448591895413
2018-02-22,1.1480677978365261,1.0610010404526975,1.2021452958471022
2018-02-23,1.148236148167091,1.0604882659734707,1.2021330706797122
2018-02-26,1.1487764752815368,1.0608501103446777,1.2014762785027584
2018-02-27,1.1480491459608781,1.0606740494767695,1.2020575132417093
2018-02-28,1.149774021151741,1.0610077471895445,1.202055224491784
2018-03-01,1.150013029559556,1.0613963494437721,1.2020536345530268
2018-03-02,1.1507809166529257,1.0607518729887517,1.2026557726972027
2018-03-05,1.1526991807603848,1.0608936137795342,1.2023084984426744
2018-03-06,1.152712217319861,1.0607610583390024,1.2026683106083456
2018-03-07,1.1530390244272406,1.0606095248845189,1.202859347514067
2018-03-08,1.1531075200927803,1.0602986388787001,1.2027220131554903
2018-03-09,1.152688323192279,1.0604985447479802,1.2033508315893053
2018-03-12,1.1533905432112945,1.0600571075262208,1.2031221565411179
2018-03-13,1.153565915151555,1.0597150765953627,1.2035955038609805
2018-03-14,1.1530835121309035,1.0590839874827258,1.2036899856946748
