Date,NTL,CI_low,CI_high
2016-06-08,1.1691767103990562,1.1691767103990562,1.1691767103990562
2016-06-09,1.1678415140594478,1.1644659022797974,1.173843636871316
2016-06-10,1.162904814698625,1.1620588692751204,1.175973278000118
2016-06-13,1.1636025919787065,1.1602156242339976,1.1776221307449224
2016-06-14,1.1628041676660708,1.158396870161349,1.1789094021968105
2016-06-15,1.1627881353329694,1.1569647773427993,1.180307955116722
2016-06-16,1.163802546044744,1.1551386980875693,1.1814012728310492
2016-06-17,1.1629606199761937,1.1542234450202866,1.182790839763347
2016-06-20,1.1614280744705405,1.152996847575604,1.1840857440705712
2016-06-21,1.1610805932585166,1.1522761774549746,1.1853274016461637
2016-06-22,1.161891502981037,1.151361364281329,1.1861110548288505
2016-06-23,1.1612217659115094,1.1506545142486853,1.1865365104101129
2016-06-24,1.1599643700020978,1.149860581181185,1.1877219317668954
2016-06-27,1.156648527030232,1.1487016210047631,1.1883049703788624
2016-06-28,1.1561841775684174,1.147482811014461,1.1889078607383226
2016-06-29,1.1582204438158858,1.1467968061863927,1.1897994638221483
2016-06-30,1.1563272824274973,1.1464609036980948,1.1907680843522512
2016-07-01,1.1558789674019838,1.1451216010721066,1.1916391633568273
2016-07-04,1.1542562073908094,1.1446858673581077,1.1923487784045161
2016-07-05,1.1506399310241917,1.143480806502065,1.1931922575022411
2016-07-06,1.1493999133507964,1.1429604283095944,1.1937811447305817
2016-07-07,1.154008786215293,1.1418872651438707,1.194389785585658
2016-07-08,1.1549042205181999,1.1405251909901561,1.1951564833830848
2016-07-11,1.1514397887393264,1.1395031346701012,1.1964166175198783
2016-07-12,1.1502939749013978,1.1387551878543947,1.196463251448905
2016-07-13,1.1507853817149003,1.1374592861411938,1.1980604651161235
2016-07-14,1.1491613372529106,1.1372256580955378,1.1989398923893757
2016-07-15,1.1490264297990718,1.1374744876045697,1.1987518868069345
2016-07-18,1.1501220394042653,1.1371115517187225,1.1996239942203724
2016-07-19,1.1507736050644461,1.1359614379614926,1.1993414283450787
2016-07-20,1.1502470314257298,1.1348485452747337,1.2001863764604823
2016-07-21,1.1588718978129067,1.135132465643969,1.2004547527347338
2016-07-22,1.1579964870725508,1.1344357239193312,1.201031698784054
2016-07-25,1.1529563987278326,1.1341135362257408,1.2026107785526263
2016-07-26,1.1556708529205284,1.1325720351861073,1.2025533927723984
2016-07-27,1.1599386127116418,1.1324304236408627,1.2029731833128516
2016-07-28,1.1609992024663867,1.1318770515881351,1.2036542364453848
2016-07-29,1.159755212567391,1.1316354012043812,1.2046731461882159
2016-08-01,1.1609863070189606,1.1305496640609831,1.2053706662693757
2016-08-02,1.162215309318579,1.1305094517851182,1.2053191796997174
2016-08-03,1.1609634464037564,1.130512946148061,1.2059733504499222
2016-08-04,1.1658977653140736,1.1301575799766241,1.2059084669264393
2016-08-05,1.1643122621475686,1.130056624408064,1.2063086729532693
2016-08-08,1.1674266990211841,1.1296114897892406,1.2068170760739032
